연번,인허가관할기관,업소명,업종,업태,업소주소,영업상태
31047,인천광역시 서구,정(情)푸드,일반음식점,한식,인천광역시 서구 백범로934번길 8(1동 3층 가좌동),정상
31048,인천광역시 서구,정가 한라산,일반음식점,한식,"인천광역시 서구 도요지로 240(검암동,럭키프라자1층)",정상
31049,인천광역시 서구,정가네 김밥나라,일반음식점,한식,인천광역시 서구 승학로483번길 1(1층 검암동),정상
31050,인천광역시 서구,정가네고깃간,일반음식점,한식,인천광역시 서구 크리스탈로 94(204호 청라동),정상
31051,인천광역시 서구,정가네막회,일반음식점,회집,"인천광역시 서구 심곡로 130(심곡동,영우빌딩 103호)",정상
31052,인천광역시 서구,정가네설렁탕,일반음식점,탕류(보신용),인천광역시 서구 강남로 36-1(1층일부 석남동),정상
31053,인천광역시 서구,정가네칼국수,일반음식점,분식,인천광역시 서구 새오개로 69(신현동),정상
31054,인천광역시 서구,정가며느리볼테기,일반음식점,한식,"인천광역시 서구 검단로459번길 7-3(왕길동,인천아트빌상가110,111호)",정상
31055,인천광역시 서구,정다운식당,일반음식점,한식,인천광역시 서구 원창로89번길 41(1층 원창동),정상
31056,인천광역시 서구,정다운집,일반음식점,경양식,"인천광역시 서구 장고개로287번길 6-2(가좌동, 1층일부)",정상
31057,인천광역시 서구,정드림흑염소,일반음식점,한식,"인천광역시 서구 완정로10번길 2(남양프라자 1층 101,102호 마전동)",정상
31058,인천광역시 서구,정딜리버리푸드,일반음식점,한식,인천광역시 서구 청라커낼로288번길 8-10(청라 봄 빌딩 106호일부 청라동),정상
31059,인천광역시 서구,정밀,일반음식점,한식,인천광역시 서구 거북로119번길 29(1층 일부 석남동),정상
31060,인천광역시 서구,정복앤아구,일반음식점,탕류(보신용),인천광역시 서구 서곶로 281-1(심곡동),정상
31061,인천광역시 서구,정서진,일반음식점,한식,인천광역시 서구 호두산로 263(경서동),정상
31062,인천광역시 서구,정서진떡볶이,일반음식점,분식,인천광역시 서구 가정로 382(새인천상가 111호 가정동),정상
31063,인천광역시 서구,정서진메밀면옥,일반음식점,한식,인천광역시 서구 아라로51번길 3(1층 시천동),정상
31064,인천광역시 서구,정서진장터국밥,일반음식점,한식,인천광역시 서구 뱃길1로 3(1층 일부 오류동),정상
31065,인천광역시 서구,정서진푸드,일반음식점,한식,인천광역시 서구 원창로239번길 12-1(가정동),정상
31066,인천광역시 서구,정석갈비,일반음식점,한식,"인천광역시 서구 새오개로111번안길 23(201, 202호 신현동)",정상
31067,인천광역시 서구,정선 아라리촌,일반음식점,한식,"인천광역시 서구 완정로188번길 9(마전동, 1층)",정상
31068,인천광역시 서구,정선연탄불고기,일반음식점,식육(숯불구이),"인천광역시 서구 장고개로 270-6(1층 가좌동, 327-22)",정상
31069,인천광역시 서구,정수식당,일반음식점,기타,"인천광역시 서구 건지로284번길 62-1(가좌동, 145-121)",정상
31070,인천광역시 서구,정식,일반음식점,한식,인천광역시 서구 건지로284번길 54-1(1층 일부 가좌동),정상
31071,인천광역시 서구,정쌤푸드,일반음식점,한식,인천광역시 서구 청라라임로122번길 19-2(1층 일부 청라동),정상
31072,인천광역시 서구,정연식당,일반음식점,기타,"인천광역시 서구 백범로910번길 61(가좌동,외 1필지 회성목재 나동 1층)",정상
31073,인천광역시 서구,정우돈가스,일반음식점,기타,인천광역시 서구 봉오재3로 100(금강하이프라자 101호 가정동),정상
31074,인천광역시 서구,정우식당,일반음식점,한식,인천광역시 서구 건지로250번길 53(103호 가좌동),정상
